obs, time, Delta, Theta, Alpha1, Alpha2, Beta1, Beta2, Gamma1, Gamma2, Attention, Meditation, Derived, totPwr, class 
1, 2.0, 177956, 1399, 298, 914833, 65628, 36247, 2273821, 175118, 40, 24, NA, 3645300,  X
2, 3.0, 5463, 86633, 248015, 779210, 1161569, 12542, 645276, 344205, 77, 88, NA, 3282913,  X
3, 4.1, 427157, 295368, 53321, 964154, 10081, 141, 3850, 2410, 87, 59, NA, 1756482,  X
4, 5.1, 146031, 130719, 78100, 19432, 1117863, 173567, 92032, 15741, 90, 58, NA, 1773485,  X
5, 6.1, 144849, 1661, 2701, 794031, 140757, 2221, 1178264, 110215, 81, 23, NA, 2374699,  X
6, 7.1, 865570, 20687, 40, 887325, 24147, 123301, 25987, 1030306, 39, 24, NA, 2977363,  X
7, 8.1, 35, 315105, 1968417, 367289, 1166, 280306, 246336, 549781, 63, 60, NA, 3728435,  X
8, 9.1, 502622, 79659, 664214, 236, 446432, 7406, 4914, 107268, 90, 31, NA, 1812751,  X
9, 10.1, 13680, 731814, 11317, 1265116, 273317, 18525, 186835, 29927, 18, 28, NA, 2530531,  X
10, 11.1, 1817, 1041248, 15634, 44758, 65158, 2079357, 294573, 635200, 2, 59, NA, 4177745,  X
11, 12.1, 96252, 1206579, 11399, 182554, 1600144, 193533, 20043, 35839, 32, 93, NA, 3346343,  X
12, 13.2, 67232, 395599, 2744, 124331, 990464, 67254, 116914, 748895, 20, 74, NA, 2513433,  X
13, 14.2, 332330, 196000, 202131, 1092, 60078, 14997, 172147, 139547, 97, 56, NA, 1118322,  X
14, 15.2, 714318, 307216, 2046484, 23727, 20898, 82845, 207564, 278682, 38, 22, NA, 3681734,  X
15, 16.2, 15212, 98926, 107977, 243883, 22638, 296503, 32619, 245977, 71, 8, NA, 1063735,  X
16, 17.2, 21916, 1587710, 1192109, 12614, 170621, 245333, 600208, 376010, 20, 88, NA, 4206521,  X
