obs, time, Delta, Theta, Alpha1, Alpha2, Beta1, Beta2, Gamma1, Gamma2, Attention, Meditation, Derived, totPwr, class 
1, 2.0, 1169845, 86164, 696713, 512699, 349835, 204829, 256395, 839756, 9, 7, NA, 4116236,  a*
2, 3.1, 20037, 190142, 46156, 659439, 3117, 355491, 434174, 39087, 16, 15, NA, 1747643,  a*
3, 4.1, 674, 97465, 562310, 232, 40593, 224158, 2970, 593033, 42, 50, NA, 1521435,  a*
4, 5.1, 121258, 429143, 193254, 73988, 138807, 1770980, 4126, 17331, 90, 6, NA, 2748887,  a*
5, 6.2, 6131, 253571, 1424837, 107898, 287383, 127235, 29961, 20142, 72, 42, NA, 2257158,  a*
6, 7.2, 155202, 220529, 53733, 87100, 23276, 176554, 420062, 1322129, 62, 90, NA, 2458585,  a*
7, 8.2, 23135, 104476, 3, 77979, 99174, 83, 672436, 856743, 26, 24, NA, 1834029,  a*
8, 9.3, 243518, 36251, 2303, 5119, 510612, 399284, 436439, 97189, 88, 14, NA, 1730715,  a*
9, 10.3, 44422, 16170, 217962, 278920, 39311, 475474, 222239, 807572, 62, 95, NA, 2102070,  a*
10, 11.4, 14124, 146725, 19517, 5570, 11607, 5966, 337764, 93663, 59, 18, NA, 634936,  a*
11, 12.4, 213632, 1070148, 118185, 328101, 1260909, 30487, 59399, 1179, 12, 25, NA, 3082040,  a*
12, 13.4, 97, 667292, 138112, 13, 399953, 504524, 37934, 119929, 32, 48, NA, 1867854,  a*
13, 14.4, 89000, 3577, 1275266, 327853, 159, 490819, 178234, 657434, 71, 9, NA, 3022342,  a*
14, 15.4, 80078, 15458, 175009, 671791, 168433, 13814, 35263, 738440, 69, 97, NA, 1898286,  a*
15, 16.4, 749485, 10320, 34581, 536684, 1309310, 1515364, 1650119, 151428, 7, 100, NA, 5957291,  a*
16, 17.4, 97514, 212550, 28984, 22370, 389363, 228144, 8111, 432912, 88, 50, NA, 1419948,  a*
17, 18.5, 145033, 483285, 118849, 13870, 130398, 105858, 40836, 206933, 37, 93, NA, 1245062,  a*
18, 19.5, 192849, 817860, 378088, 939708, 151849, 16600, 20559, 23263, 79, 69, NA, 2540776,  a*
19, 20.5, 146028, 1052182, 20165, 299306, 2120, 866, 24972, 5620, 77, 48, NA, 1551259,  a*
20, 21.5, 489424, 56168, 1020500, 76216, 147676, 124087, 625550, 1769, 73, 76, NA, 2541390,  a*
21, 22.5, 126317, 260553, 74, 155996, 354371, 139665, 94398, 576129, 68, 43, NA, 1707503,  a*
22, 23.5, 1750, 338475, 24757, 391223, 89777, 160754, 143996, 1817, 67, 5, NA, 1152549,  a*
23, 24.5, 14358, 387326, 581705, 782249, 898035, 261646, 7045, 250746, 57, 22, NA, 3183110,  a*
24, 25.5, 142190, 68122, 1179312, 96514, 327725, 14452, 229833, 38361, 50, 75, NA, 2096509,  a*
25, 26.6, 56557, 883161, 94141, 39578, 15017, 50465, 126530, 590784, 79, 61, NA, 1856233,  a*
26, 27.6, 936, 138710, 1514789, 768237, 16431, 417345, 1637911, 269854, 41, 34, NA, 4764213,  a*
27, 28.6, 1081, 240788, 306114, 588548, 479641, 75401, 183070, 307336, 82, 99, NA, 2181979,  a*
28, 29.6, 12807, 2418, 34085, 18611, 330271, 22740, 760890, 11586, 75, 34, NA, 1193408,  a*
29, 30.6, 394162, 740561, 171722, 743657, 250915, 116058, 76060, 385, 91, 79, NA, 2493520,  a*
30, 31.6, 2196, 11358, 173076, 176410, 42190, 390, 481808, 812162, 89, 95, NA, 1699590,  a*
31, 32.6, 146059, 356125, 22866, 72292, 68652, 235448, 769437, 760153, 84, 76, NA, 2431032,  a*
32, 33.6, 140198, 85253, 1430466, 79948, 67519, 367126, 67274, 130925, 72, 62, NA, 2368709,  a*
33, 34.6, 4634, 836737, 634363, 179948, 338448, 13955, 234813, 103757, 81, 47, NA, 2346655,  a*
34, 35.7, 98912, 926540, 471116, 528661, 8185, 6674, 1536473, 2023082, 51, 85, NA, 5599643,  a*
35, 36.7, 999, 488737, 3220, 295130, 512786, 40246, 9806, 8961, 15, 40, NA, 1359885,  a*
36, 37.7, 17607, 314702, 478796, 19579, 1727427, 555258, 5155, 14408, 78, 30, NA, 3132932,  a*
37, 38.7, 790816, 520217, 579074, 500747, 961, 507293, 3460, 490804, 25, 4, NA, 3393372,  a*
38, 39.7, 467045, 1211947, 151148, 437272, 3984, 133046, 79072, 75057, 48, 53, NA, 2558571,  a*
39, 40.7, 10166, 1231654, 28855, 138840, 104921, 121, 609289, 44820, 18, 43, NA, 2168666,  a*
40, 41.7, 314733, 1471, 497587, 653692, 22985, 195537, 407463, 891185, 64, 56, NA, 2984653,  a*
41, 42.7, 8016, 521351, 20183, 91919, 23260, 16024, 16787, 1031875, 23, 59, NA, 1729415,  a*
42, 43.7, 65547, 29037, 160008, 78956, 47015, 7780, 233271, 207132, 14, 62, NA, 828746,  a*
43, 44.8, 240765, 418795, 1228484, 9187, 37029, 69785, 241870, 71876, 7, 71, NA, 2317791,  a*
44, 45.8, 119787, 1938236, 72299, 90217, 2, 188251, 156064, 38018, 73, 28, NA, 2602874,  a*
45, 46.8, 256779, 1784, 247478, 353338, 13979, 53241, 7298, 69, 60, 69, NA, 933966,  a*
46, 47.8, 320111, 10475, 278715, 13730, 36703, 38363, 159798, 13499, 97, 93, NA, 871394,  a*
47, 48.8, 80333, 19147, 2482, 32363, 338612, 31602, 337271, 40236, 98, 49, NA, 882046,  a*
48, 49.8, 7213, 62343, 744, 48241, 163299, 732203, 680980, 987069, 18, 44, NA, 2682092,  a*
49, 50.8, 48184, 46041, 210517, 1102688, 48598, 8031, 76050, 4313, 8, 51, NA, 1544422,  a*
50, 51.9, 157485, 41047, 41602, 834876, 403284, 338680, 69641, 246824, 22, 6, NA, 2133439,  a*
51, 52.9, 4202, 431146, 24081, 29873, 189999, 58265, 150665, 22872, 61, 63, NA, 911103,  a*
52, 53.9, 28645, 2108493, 488295, 1057782, 187724, 45829, 427584, 85805, 50, 89, NA, 4430157,  a*
53, 54.9, 1106090, 45882, 378647, 23617, 342697, 2472, 6233, 67557, 22, 94, NA, 1973195,  a*
54, 55.9, 1288232, 3207, 372313, 4186, 1204418, 488153, 175071, 569196, 43, 92, NA, 4104776,  a*
55, 56.9, 1194, 135002, 49090, 71445, 506012, 7999, 63179, 440840, 100, 84, NA, 1274761,  a*
56, 57.9, 1851588, 76832, 4611, 1101616, 1412502, 42841, 429407, 104526, 64, 73, NA, 5023923,  a*
57, 58.9, 1104701, 11876, 1276960, 106307, 26709, 6109, 678, 2112, 82, 84, NA, 2535452,  a*
